feature,importance
FunctionalAssessment,0.20526476074232075
ADL,0.18459359327912486
MMSE,0.1272313992109329
MemoryComplaints,0.10086012497685902
BehavioralProblems,0.053811271542280346
SleepQuality,0.025990951788682666
DietQuality,0.025364741082729493
CholesterolTriglycerides,0.024955659968077297
CholesterolHDL,0.02479399713298112
PhysicalActivity,0.024474277503747453
BMI,0.024162164260857318
CholesterolTotal,0.02374595459135323
AlcoholConsumption,0.023129354810992146
CholesterolLDL,0.022152104232937005
SystolicBP,0.020882375167465363
DiastolicBP,0.01969201409704901
Age,0.019486969165000666
EducationLevel_1,0.0035801165401993743
Ethnicity_0,0.0032716476782001336
Forgetfulness,0.002982789892336578
Gender_0,0.002929302598303814
Ethnicity_1,0.002865569141208497
Gender_1,0.0028503385315526803
Smoking,0.002724894429153981
EducationLevel_0,0.0026735574445014747
EducationLevel_2,0.0025870780742902073
FamilyHistoryAlzheimers,0.0024619237730598765
Depression,0.0021743304622705044
CardiovascularDisease,0.002050511702858013
Confusion,0.0020161511097279037
Ethnicity_2,0.0020069875542846442
Hypertension,0.0018268418856729584
PersonalityChanges,0.0018236534909621435
Diabetes,0.0017665128057946981
DifficultyCompletingTasks,0.0016298353027270518
Disorientation,0.0015691266484320122
EducationLevel_3,0.0014836804277289374
HeadInjury,0.0011811348429967303
Ethnicity_3,0.0009523021103471162
