feature,mean_roc_auc_decrease,sd
FunctionalAssessment,0.14403319449703392,0.014298711729312593
ADL,0.11367379780386216,0.013773859626434688
MMSE,0.0990731099331061,0.011952386442995493
MemoryComplaints,0.05805329420673984,0.006778093623038501
BehavioralProblems,0.04791114476839577,0.007108449104324491
CholesterolLDL,0.0010625709958348476,0.0007328432760635729
CholesterolHDL,0.0008653603433042445,0.0009606797879778452
Ethnicity,0.0008622049728637744,0.0006395665211118786
SleepQuality,0.0002713618578821205,0.0008958849091990952
DietQuality,0.00025242963523911904,0.0013064767394217103
SystolicBP,0.00019563296731031816,0.000785932724633883
Confusion,0.00016250157768518496,0.00011985216796230291
PhysicalActivity,0.00011517102107783117,0.0008547443667272824
Disorientation,9.702764104504065e-05,0.00012010371606919024
DifficultyCompletingTasks,8.598384450333451e-05,0.0001686149925857756
Smoking,8.046194623247589e-05,0.0001238156263929908
Diabetes,4.2597500946617296e-05,0.00014230685704630827
Hypertension,2.6031806134030333e-05,0.00026227207724212597
PersonalityChanges,1.893222264292005e-05,0.00019756373793836332
HeadInjury,4.733055660688379e-06,0.0001472074156939136
EducationLevel,-1.8143380032834926e-05,0.0005607450393555426
Depression,-5.206361226810137e-05,0.00015702525917919057
Gender,-9.860532626530712e-05,0.00017540887049680214
FamilyHistoryAlzheimers,-0.00010491606714628418,0.00019037274541675885
Forgetfulness,-0.0001483024107030495,0.00012491640929457038
CardiovascularDisease,-0.00016486810551558095,0.0002724751900905028
CholesterolTotal,-0.0003037044048971834,0.0007526174500246356
Age,-0.0004188754259750405,0.0011982384224563905
CholesterolTriglycerides,-0.0008014640918844074,0.0011214734327158829
AlcoholConsumption,-0.000803041777104685,0.0006579609433222184
BMI,-0.0008290735832387079,0.0008974411754687435
DiastolicBP,-0.0010602044680045664,0.0007122790125215665
